itemId,name,price,ratingScore,review,location,brandName,sellerName,image,categories,itemSoldCntShow,discount,cat_1,cat_2,cat_3,category
447462398,Women's Dress with Beautiful Knitted Back Detail,90000,3.8,19,Vietnam,No Brand,PONIVALAZA,https://vn-live-01.slatic.net/p/aaea6dc9957fb0978887d09e8b5c2286.jpg,"[62540802, 6396]",81.0,0.4,62540802,6396,0,thoi_trang_nu
273616788,QUẦN TÂY CÔNG SỞ 2 LY HẢI NGÂN HÀNG CAO CẤP Màu Đen có bigsize 108KG,114000,4.8,317,Vietnam,Hải Ngân Sibangle,Sỉ Bằng Lẻ,https://vn-live-01.slatic.net/p/7bccfe0f880c6ce6ab8ea50c4c408dc6.jpg,"[62540802, 62541005, 7954]",1700.0,0.43,62540802,62541005,7954,thoi_trang_nu
3328776115,VASIBAEN Cô gái dễ thương ngọt ngào giữa eo với vải thoáng khí mềm mại và vừa vặn thoải mái cho trang phục hàng ngày,22000,4.8,,Netherlands,VASIBAEN,VASIBAEN Fashion,https://sg-test-11.slatic.net/p/01dad6efda10b61302b8f5cc459dacff.png,"[62540204, 62541803, 62541602, 7980]",0.0,0.41,62540204,62541803,62541602,thoi_trang_nu
13348517574,MISSUP Chiffon Quần tập nhảy Eo thun co giãn Lỏng lẻo Quần thể thao Thời trang Múa cổ điển Quần tập thể dục Phụ nữ,203000,4.8,,China,FEIYING,FEIYING Mall SHOP,https://sg-test-11.slatic.net/p/7076b37d38de7224750adab04a0ce668.jpg,"[62540802, 62541802, 1813]",0.0,0.43,62540802,62541802,1813,thoi_trang_nu
3253176482,Trendy Thai Style Wrap Chest Shawl Long Skirt Dance Costume Summer Photo Ethnic Dai Women's Set Nylon Material 20-50 Years Old,238450,4.8,,China,No Brand,Lazada Global,https://filebroker-cdn.lazada.vn/kf/S2fd6fbadb01d494ca87bc239983b68dfY.jpg,"[62540802, 62541802, 1813]",320.0,0.06,62540802,62541802,1813,thoi_trang_nu
1294662095,ĐẦM XÒE DỰ TIỆC CAO CẤP PHỐI VIỀN BÈO THẮT NƠ DỄ THƯƠNG,99000,4.3,7,Vietnam,No Brand,SHOP BA MIỀN,https://vn-live-01.slatic.net/p/f68bc0c6e640cb8150b9c259778dc5e8.jpg,"[62540802, 6396]",28.0,0.5,62540802,6396,0,thoi_trang_nu
2936624050,GUOUqna Phụ nữ Đan Rỗng ra Khăn choàng quấn đám cưới cô dâu buổi tối ăn mặc ren khăn choàng đám cưới hướng dương ren khăn SHRUG CAPE Poncho,27620,4.9,19,China,GUOUqna,GUOUqna Vietnam,https://sg-test-11.slatic.net/p/99effe7717f6862a8c64ac31ba165b8f.jpg,"[8943, 7811, 7831]",41.0,0.44,8943,7811,7831,thoi_trang_nu
2353681948,Chân Váy Xòe Xếp Ly Phối Túi Nana Cách Điệu Lưng Thời Trang Công Sở Chất Tuyết Mưa,116000,4.8,55,Vietnam,No Brand,TI-EL SHOP 93,https://vn-live-01.slatic.net/p/cbf768ebb9f6b7caa6afc30a6bf4495c.jpg,"[62540802, 62541005, 6401]",185.0,0.45,62540802,62541005,6401,thoi_trang_nu
2373675453,"Quần tây thun ôm, Quần Kaki Nữ Co Giãn Lưng Thun chất vải dày đẹp,Đi làm Đi chơi đều đẹp Bigsize đến 65kg",199000,4.8,,Vietnam,No Brand,SHOP_TYNA_FASHION,https://vn-live-01.slatic.net/p/d3ea0cbc7a7de7af1476ba963ec29f27.jpg,"[62540802, 62541005, 7954]",0.0,0.5,62540802,62541005,7954,thoi_trang_nu
272722726,"KHÓA BÊN SƯỜN, QUẦN TÂY ỐNG SUÔNG QUẦN ỐNG RỘNG Nữ, Lưng Cao, HẢI NGÂN, Có Big Size Oversize lên tới 103KG",124000,4.8,792,Vietnam,Hải Ngân Sibangle,Sỉ Bằng Lẻ,https://vn-live-01.slatic.net/p/c2ad76efd8d0c531b560d0be5588e6fd.jpg,"[62540802, 62541005, 7954]",3000.0,0.22,62540802,62541005,7954,thoi_trang_nu
13349298513,NOWNICE Chiffon Quần khiêu vũ Eo thun co giãn Lỏng lẻo Quần tập yoga Thời trang Múa cổ điển Quần ống rộng Phụ nữ,123404,4.8,,China,Uptonice,Uptonice MALL,https://sg-test-11.slatic.net/p/46dd41b5606ae0d5c14e9a132eeefe2d.jpg,"[62540802, 62541802, 1813]",0.0,0.41,62540802,62541802,1813,thoi_trang_nu
13339355352,"TerraFluxus   Áo thun tay ngắn nữ dáng ôm, chất liệu sợi sữa mỏng nhẹ không vết nối, thoáng mát phù hợp mùa hè",51000,5.0,5,China,TerraFluxus,TerraFluxus MALL,https://sg-test-11.slatic.net/p/cf43a2d9e2e224fbe5ce4cd4c1ad6e0a.png,"[62540802, 62541801, 7932]",5.0,0.28,62540802,62541801,7932,thoi_trang_nu
2860337786,Áo dài hoa nhí đính nơ phối cổ xinh MINISO,250000,5.0,1,Vietnam,No Brand,Miniso Stores,https://sg-test-11.slatic.net/p/3d7991fb43a32312b7f048ee04425241.jpg,"[62540802, 62541801, 11165]",5.0,0.0,62540802,62541801,11165,thoi_trang_nu
